"Year","Industries_luok","Municipality","Bankruptcies instigated, number of enterprises","Bankruptcies instigated, number of employees"
"2022","Trade","Geta",0,0
"2022","Trade","Haapajärvi",1,3
"2022","Trade","Haapavesi",0,0
"2022","Trade","Hailuoto",0,0
"2022","Trade","Halsua",0,0
"2022","Trade","Hamina",3,3
"2022","Trade","Hammarland",0,0
"2022","Trade","Hankasalmi",0,0
"2022","Trade","Hanko",0,0
"2022","Trade","Harjavalta",0,0
"2022","Trade","Hartola",2,2
"2022","Trade","Hattula",2,3
"2022","Trade","Hausjärvi",0,0
"2022","Trade","Heinola",0,0
"2022","Trade","Heinävesi",0,0
"2022","Trade","Helsinki",100,336
"2022","Trade","Hirvensalmi",0,0
"2022","Trade","Hollola",1,2
"2022","Trade","Huittinen",1,1
"2022","Trade","Humppila",1,1
"2022","Trade","Hyrynsalmi",0,0
"2022","Trade","Hyvinkää",3,13
"2022","Trade","Hämeenkyrö",0,0
"2022","Trade","Hämeenlinna",6,8
"2022","Trade","Ii",1,1
"2022","Trade","Iisalmi",1,3
"2022","Trade","Iitti",0,0
"2022","Trade","Ikaalinen",0,0
"2022","Trade","Ilmajoki",1,1
"2022","Trade","Ilomantsi",0,0
"2022","Trade","Imatra",1,1
"2022","Trade","Inari",0,0
"2022","Trade","Ingå",1,7
"2022","Trade","Isojoki",0,0
"2022","Trade","Isokyrö",2,2
"2022","Trade","Janakkala",0,0
"2022","Trade","Joensuu",5,7
"2022","Trade","Jokioinen",0,0
"2022","Trade","Jomala",1,1
"2022","Trade","Joroinen",0,0
"2022","Trade","Joutsa",0,0
"2022","Trade","Juuka",0,0
"2022","Trade","Juupajoki",0,0
"2022","Trade","Juva",1,3
"2022","Trade","Jyväskylä",12,30
"2022","Trade","Jämijärvi",0,0
"2022","Trade","Jämsä",0,0
"2022","Trade","Järvenpää",5,9
"2022","Trade","Kaarina",1,2
"2022","Trade","Kaavi",1,9
"2022","Trade","Kajaani",5,24
"2022","Trade","Kalajoki",1,1
"2022","Trade","Kangasala",2,11
"2022","Trade","Kangasniemi",0,0
"2022","Trade","Kankaanpää",0,0
"2022","Trade","Kannonkoski",0,0
"2022","Trade","Kannus",0,0
"2022","Trade","Karijoki",0,0
"2022","Trade","Karkkila",1,3
"2022","Trade","Karstula",0,0
"2022","Trade","Karvia",0,0
"2022","Trade","Kaskinen",0,0
"2022","Trade","Kauhajoki",0,0
"2022","Trade","Kauhava",2,10
"2022","Trade","Kauniainen",1,5
"2022","Trade","Kaustinen",0,0
"2022","Trade","Keitele",0,0
"2022","Trade","Kemi",3,8
"2022","Trade","Kemijärvi",0,0
"2022","Trade","Keminmaa",0,0
"2022","Trade","Kimitoön",1,1
"2022","Trade","Kempele",3,8
"2022","Trade","Kerava",7,29
"2022","Trade","Keuruu",1,2
"2022","Trade","Kihniö",0,0
"2022","Trade","Kinnula",0,0
"2022","Trade","Kirkkonummi",4,10
"2022","Trade","Kitee",0,0
"2022","Trade","Kittilä",0,0
"2022","Trade","Kiuruvesi",0,0
"2022","Trade","Kivijärvi",0,0
"2022","Trade","Kokemäki",0,0
"2022","Trade","Kokkola",3,11
"2022","Trade","Kolari",0,0
"2022","Trade","Konnevesi",0,0
"2022","Trade","Kontiolahti",0,0
"2022","Trade","Korsnäs",0,0
"2022","Trade","Koski Tl",0,0
"2022","Trade","Kotka",5,8
"2022","Trade","Kouvola",2,2
"2022","Trade","Kristinestad",0,0
"2022","Trade","Kronoby",0,0
"2022","Trade","Kuhmo",0,0
"2022","Trade","Kuhmoinen",0,0
"2022","Trade","Kumlinge",0,0
"2022","Trade","Kuopio",10,33
"2022","Trade","Kuortane",0,0
"2022","Trade","Kurikka",1,3
"2022","Trade","Kustavi",0,0
"2022","Trade","Kuusamo",1,4
"2022","Trade","Kyyjärvi",0,0
"2022","Trade","Kärkölä",0,0
"2022","Trade","Kärsämäki",0,0
"2022","Trade","Kökar",0,0
"2022","Trade","Lahti",8,9
"2022","Trade","Laihia",2,6
"2022","Trade","Laitila",0,0
"2022","Trade","Lapinjärvi",0,0
"2022","Trade","Lapinlahti",1,3
"2022","Trade","Lappajärvi",0,0
"2022","Trade","Lappeenranta",3,7
"2022","Trade","Lapua",1,10
"2022","Trade","Laukaa",2,7
"2022","Trade","Lemi",0,0
"2022","Trade","Lemland",0,0
"2022","Trade","Lempäälä",2,5
"2022","Trade","Leppävirta",0,0
"2022","Trade","Lestijärvi",0,0
"2022","Trade","Lieksa",2,3
"2022","Trade","Lieto",0,0
"2022","Trade","Liminka",1,1
"2022","Trade","Liperi",0,0
"2022","Trade","Lohja",1,1
"2022","Trade","Loimaa",1,4
"2022","Trade","Loppi",0,0
"2022","Trade","Loviisa",1,1
"2022","Trade","Luhanka",0,0
"2022","Trade","Lumijoki",0,0
"2022","Trade","Lumparland",0,0
"2022","Trade","Larsmo",1,1
"2022","Trade","Luumäki",0,0
"2022","Trade","Malax",0,0
"2022","Trade","Mariehamn",0,0
"2022","Trade","Marttila",0,0
"2022","Trade","Masku",1,4
"2022","Trade","Merijärvi",0,0
"2022","Trade","Merikarvia",1,1
"2022","Trade","Miehikkälä",0,0
"2022","Trade","Mikkeli",4,13
"2022","Trade","Muhos",0,0
"2022","Trade","Multia",0,0
"2022","Trade","Muonio",1,3
"2022","Trade","Korsholm",1,1
"2022","Trade","Muurame",0,0
"2022","Trade","Mynämäki",0,0
"2022","Trade","Myrskylä",0,0
"2022","Trade","Mäntsälä",1,6
"2022","Trade","Mänttä-Vilppula",0,0
"2022","Trade","Mäntyharju",0,0
"2022","Trade","Naantali",0,0
"2022","Trade","Nakkila",0,0
"2022","Trade","Nivala",2,4
"2022","Trade","Nokia",0,0
"2022","Trade","Nousiainen",0,0
"2022","Trade","Nurmes",0,0
"2022","Trade","Nurmijärvi",2,4
"2022","Trade","Närpes",2,2
"2022","Trade","Orimattila",0,0
"2022","Trade","Oripää",0,0
"2022","Trade","Orivesi",1,2
"2022","Trade","Oulainen",0,0
"2022","Trade","Oulu",17,49
"2022","Trade","Outokumpu",1,1
"2022","Trade","Padasjoki",0,0
"2022","Trade","Paimio",0,0
"2022","Trade","Paltamo",0,0
"2022","Trade","Pargas",2,5
"2022","Trade","Parikkala",0,0
"2022","Trade","Parkano",0,0
"2022","Trade","Pedersöre",0,0
"2022","Trade","Pelkosenniemi",0,0
"2022","Trade","Pello",0,0
"2022","Trade","Perho",0,0
"2022","Trade","Petäjävesi",1,1
"2022","Trade","Pieksämäki",2,10
"2022","Trade","Pielavesi",0,0
"2022","Trade","Jakobstad",4,15
"2022","Trade","Pihtipudas",0,0
"2022","Trade","Pirkkala",0,0
"2022","Trade","Polvijärvi",0,0
"2022","Trade","Pomarkku",0,0
"2022","Trade","Pori",7,14
"2022","Trade","Pornainen",1,3
"2022","Trade","Porvoo",3,8
"2022","Trade","Posio",0,0
"2022","Trade","Pudasjärvi",0,0
"2022","Trade","Pukkila",0,0
"2022","Trade","Punkalaidun",1,5
"2022","Trade","Puolanka",0,0
"2022","Trade","Puumala",0,0
"2022","Trade","Pyhtää",0,0
"2022","Trade","Pyhäjoki",0,0
"2022","Trade","Pyhäjärvi",0,0
"2022","Trade","Pyhäntä",0,0
"2022","Trade","Pyhäranta",0,0
"2022","Trade","Pälkäne",1,1
"2022","Trade","Pöytyä",0,0
"2022","Trade","Raahe",0,0
"2022","Trade","Raseborg",1,8
"2022","Trade","Raisio",0,0
"2022","Trade","Rantasalmi",0,0
"2022","Trade","Ranua",0,0
"2022","Trade","Rauma",3,5
"2022","Trade","Rautalampi",0,0
"2022","Trade","Rautavaara",0,0
"2022","Trade","Rautjärvi",0,0
"2022","Trade","Reisjärvi",0,0
"2022","Trade","Riihimäki",6,13
"2022","Trade","Ristijärvi",0,0
"2022","Trade","Rovaniemi",3,6
"2022","Trade","Ruokolahti",0,0
"2022","Trade","Ruovesi",0,0
"2022","Trade","Rusko",2,5
"2022","Trade","Rääkkylä",0,0
"2022","Trade","Saarijärvi",1,1
"2022","Trade","Salla",0,0
"2022","Trade","Salo",5,28
"2022","Trade","Saltvik",0,0
"2022","Trade","Sastamala",1,1
"2022","Trade","Sauvo",0,0
"2022","Trade","Savitaipale",0,0
"2022","Trade","Savonlinna",4,7
"2022","Trade","Savukoski",1,1
"2022","Trade","Seinäjoki",6,9
"2022","Trade","Sievi",0,0
"2022","Trade","Siikainen",0,0
"2022","Trade","Siikajoki",1,2
"2022","Trade","Siikalatva",0,0
"2022","Trade","Siilinjärvi",1,1
"2022","Trade","Simo",0,0
"2022","Trade","Sipoo",0,0
"2022","Trade","Siuntio",0,0
"2022","Trade","Sodankylä",0,0
"2022","Trade","Soini",0,0
"2022","Trade","Somero",1,2
"2022","Trade","Sonkajärvi",0,0
"2022","Trade","Sotkamo",0,0
"2022","Trade","Sottunga",0,0
"2022","Trade","Sulkava",0,0
"2022","Trade","Sund",0,0
"2022","Trade","Suomussalmi",0,0
"2022","Trade","Suonenjoki",0,0
"2022","Trade","Sysmä",0,0
"2022","Trade","Säkylä",0,0
"2022","Trade","Taipalsaari",0,0
"2022","Trade","Taivalkoski",0,0
"2022","Trade","Taivassalo",0,0
"2022","Trade","Tammela",0,0
"2022","Trade","Tampere",28,56
"2022","Trade","Tervo",1,4
"2022","Trade","Tervola",0,0
"2022","Trade","Teuva",0,0
"2022","Trade","Tohmajärvi",0,0
"2022","Trade","Toholampi",0,0
"2022","Trade","Toivakka",0,0
"2022","Trade","Tornio",0,0
"2022","Trade","Turku",13,65
"2022","Trade","Tuusniemi",0,0
"2022","Trade","Tuusula",7,12
"2022","Trade","Tyrnävä",0,0
"2022","Trade","Ulvila",1,1
"2022","Trade","Urjala",1,1
"2022","Trade","Utajärvi",0,0
"2022","Trade","Utsjoki",1,2
"2022","Trade","Uurainen",0,0
"2022","Trade","Nykarleby",0,0
"2022","Trade","Uusikaupunki",0,0
"2022","Trade","Vaala",0,0
"2022","Trade","Vaasa",6,11
"2022","Trade","Valkeakoski",3,4
"2022","Trade","Vantaa",23,124
"2022","Trade","Varkaus",0,0
"2022","Trade","Vehmaa",0,0
"2022","Trade","Vesanto",0,0
"2022","Trade","Vesilahti",0,0
"2022","Trade","Veteli",0,0
"2022","Trade","Vieremä",0,0
"2022","Trade","Vihti",2,4
"2022","Trade","Viitasaari",0,0
"2022","Trade","Vimpeli",0,0
"2022","Trade","Virolahti",0,0
"2022","Trade","Virrat",1,3
"2022","Trade","Vårdö",0,0
"2022","Trade","Vörå",1,1
"2022","Trade","Ylitornio",0,0
"2022","Trade","Ylivieska",1,1
"2022","Trade","Ylöjärvi",4,6
"2022","Trade","Ypäjä",0,0
"2022","Trade","Ähtäri",1,1
"2022","Trade","Äänekoski",0,0
"2022","Transport and storage","WHOLE COUNTRY",198,1208
"2022","Transport and storage","Akaa",1,1
"2022","Transport and storage","Alajärvi",0,0
"2022","Transport and storage","Alavieska",0,0
"2022","Transport and storage","Alavus",1,1
"2022","Transport and storage","Asikkala",0,0
"2022","Transport and storage","Askola",1,1
"2022","Transport and storage","Aura",1,1
"2022","Transport and storage","Brändö",0,0
"2022","Transport and storage","Eckerö",0,0
"2022","Transport and storage","Enonkoski",0,0
"2022","Transport and storage","Enontekiö",0,0
"2022","Transport and storage","Espoo",9,42
"2022","Transport and storage","Eura",0,0
"2022","Transport and storage","Eurajoki",0,0
"2022","Transport and storage","Evijärvi",0,0
"2022","Transport and storage","Finström",0,0
"2022","Transport and storage","Forssa",0,0
"2022","Transport and storage","Föglö",0,0
"2022","Transport and storage","Geta",0,0
"2022","Transport and storage","Haapajärvi",1,2
"2022","Transport and storage","Haapavesi",0,0
"2022","Transport and storage","Hailuoto",0,0
"2022","Transport and storage","Halsua",0,0
"2022","Transport and storage","Hamina",2,2
"2022","Transport and storage","Hammarland",0,0
"2022","Transport and storage","Hankasalmi",0,0
"2022","Transport and storage","Hanko",0,0
"2022","Transport and storage","Harjavalta",0,0
"2022","Transport and storage","Hartola",0,0
"2022","Transport and storage","Hattula",1,1
"2022","Transport and storage","Hausjärvi",0,0
"2022","Transport and storage","Heinola",0,0
"2022","Transport and storage","Heinävesi",0,0
"2022","Transport and storage","Helsinki",41,195
"2022","Transport and storage","Hirvensalmi",0,0
"2022","Transport and storage","Hollola",1,35
"2022","Transport and storage","Huittinen",1,1
"2022","Transport and storage","Humppila",0,0
"2022","Transport and storage","Hyrynsalmi",0,0
"2022","Transport and storage","Hyvinkää",1,1
"2022","Transport and storage","Hämeenkyrö",1,5
"2022","Transport and storage","Hämeenlinna",1,26
"2022","Transport and storage","Ii",1,2
"2022","Transport and storage","Iisalmi",0,0
"2022","Transport and storage","Iitti",0,0
"2022","Transport and storage","Ikaalinen",0,0
"2022","Transport and storage","Ilmajoki",0,0
"2022","Transport and storage","Ilomantsi",1,6
"2022","Transport and storage","Imatra",0,0
"2022","Transport and storage","Inari",0,0
"2022","Transport and storage","Ingå",1,2
"2022","Transport and storage","Isojoki",0,0
"2022","Transport and storage","Isokyrö",0,0
"2022","Transport and storage","Janakkala",1,31
"2022","Transport and storage","Joensuu",3,9
"2022","Transport and storage","Jokioinen",1,12
"2022","Transport and storage","Jomala",0,0
"2022","Transport and storage","Joroinen",0,0
"2022","Transport and storage","Joutsa",2,3
"2022","Transport and storage","Juuka",0,0
"2022","Transport and storage","Juupajoki",0,0
"2022","Transport and storage","Juva",0,0
"2022","Transport and storage","Jyväskylä",1,10
"2022","Transport and storage","Jämijärvi",0,0
"2022","Transport and storage","Jämsä",2,3
"2022","Transport and storage","Järvenpää",4,12
"2022","Transport and storage","Kaarina",0,0
"2022","Transport and storage","Kaavi",0,0
"2022","Transport and storage","Kajaani",2,26
"2022","Transport and storage","Kalajoki",0,0
"2022","Transport and storage","Kangasala",0,0
"2022","Transport and storage","Kangasniemi",0,0
"2022","Transport and storage","Kankaanpää",0,0
"2022","Transport and storage","Kannonkoski",0,0
"2022","Transport and storage","Kannus",0,0
"2022","Transport and storage","Karijoki",0,0
"2022","Transport and storage","Karkkila",0,0
"2022","Transport and storage","Karstula",0,0
"2022","Transport and storage","Karvia",0,0
"2022","Transport and storage","Kaskinen",0,0
"2022","Transport and storage","Kauhajoki",0,0
"2022","Transport and storage","Kauhava",2,6
"2022","Transport and storage","Kauniainen",0,0
"2022","Transport and storage","Kaustinen",0,0
"2022","Transport and storage","Keitele",0,0
"2022","Transport and storage","Kemi",1,1
"2022","Transport and storage","Kemijärvi",0,0
"2022","Transport and storage","Keminmaa",0,0
"2022","Transport and storage","Kimitoön",1,4
"2022","Transport and storage","Kempele",3,7
"2022","Transport and storage","Kerava",1,1
"2022","Transport and storage","Keuruu",0,0
"2022","Transport and storage","Kihniö",0,0
"2022","Transport and storage","Kinnula",0,0
"2022","Transport and storage","Kirkkonummi",0,0
"2022","Transport and storage","Kitee",0,0
"2022","Transport and storage","Kittilä",0,0
"2022","Transport and storage","Kiuruvesi",1,1
"2022","Transport and storage","Kivijärvi",0,0
